Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
RNU6-835P,87996345,87996448,14
GPR65,88005135,88014811,14
,88010787,88015611,14
LINC01147,88018181,88036319,14
HISLA,88024519,88098025,14
,88132585,88161459,14
,88158240,88160591,14
,88175391,88180198,14
KCNK10,88180103,88326907,14
,23394814,23396281,14
NEK2P1,18889084,18890424,14
NF1P7,18899942,18909673,14
,18920109,18934078,14
,18944199,18945139,14
POTEM,18967434,19003752,14
,18977180,18980742,14
RNU6-1239P,18978847,18978953,14
,19024090,19055551,14
GRAMD4P4,19026521,19028189,14
DUXAP9,19062316,19131167,14
,19072333,19075341,14
,19124807,19175530,14
NBEAP5,19130636,19155089,14
,19131842,19132890,14
OR11H13P,19180291,19181269,14
,19199763,19200279,14
,19220796,19220912,14
CDRT15P13,19228898,19229945,14
NBEAP6,19244904,19269380,14
,19244962,19247673,14
TOMM40P1,19267115,19268164,14
LINC01269,70697948,70712458,14
MAP3K9-DT,70808811,70816935,14
,23199096,23207325,14
MIR151B,100109419,100109514,14
MIR342,100109655,100109753,14
,100207407,100238555,14
,100263781,100265405,14
MIR6764,100277357,100277417,14
,100279959,100291456,14
SLC25A29,100291116,100306547,14
,100291117,100294656,14
MIR345,100307859,100307956,14
RN7SL523P,100319073,100319370,14
SLC25A47,100323339,100330421,14
,100333790,100354061,14
WARS1,100333790,100376805,14
,100339832,100340554,14
,100366628,100366920,14
SERPINA2,94364316,94366698,14
YY1,100238298,100282788,14
HOMEZ,23272422,23299796,14
,55896443,55962970,14
,56117316,56117990,14
,56303490,56310761,14
,56305838,56306394,14
PELI2,56117814,56301524,14
SGPP1,63684216,63728065,14
SLC10A1,69775416,69797241,14
,69804203,69804331,14
SMOC1,69854131,70032366,14
RPL7AP6,69885340,69886140,14
,70187123,70230187,14
,70230224,70232426,14
,70234495,70235095,14
ADAM21P1,70245491,70247801,14
,70255629,70343388,14
SLC8A3,70044215,70189480,14
NF1P10,18709478,18712643,14
,18710875,18712497,14
,18333726,18341859,14
,18333826,18340659,14
,31964560,31964714,14
,31964550,31965095,14
H3P37,23294604,23295798,14
,23293852,23295726,14
SERPINA13P,94641318,94646720,14
SERPINA13P,94640725,94646994,14
OR4K16P,19956600,19957568,14
,19954490,19957996,14
OR11H5P,20209273,20210198,14
,20204606,20210498,14
DPPA3P2,36371412,36371889,14
,36371165,36372383,14
ADAM20P1,70468881,70471206,14
ADAM20P1,70453541,70483775,14
ADAM6,105970168,105971166,14
ADAM6,105969729,105972269,14
,20437982,20441268,14
,20437701,20443812,14
DHRS4L1,24036501,24050968,14
,24036439,24051028,14
MED15P1,18912805,18916642,14
,18914092,18916544,14
BMS1P17,19316114,19316773,14
,19301704,19316914,14
,68773316,68780218,14
ZFP36L1,68787660,68796253,14
,68794739,68795250,14
EVL,99971449,100144236,14
DEGS2,100143957,100159645,14
OR4K3,19868197,19869143,14
OR4K5,19920607,19921578,14
,20759311,20774794,15
,20046296,20047994,15
,27422381,27428338,15
,26261669,26265918,15
,24955034,25000276,15
BCAR1P2,21080812,21081447,15
IGHD1OR15-1A,20011153,20011169,15
FAM30C,21019388,21020851,15
,23193491,23193696,15
OR4N3BP,21683038,21683962,15
IGHD5OR15-5A,20003840,20003862,15
CXADRP2,21372793,21373881,15
SPATA31E2P,20593494,20599195,15
,27662715,27667273,15
PWRN1,24101827,24823365,15
OR11H3P,22009547,22010529,15
,27208089,27208635,15
OR11J6P,21980277,21981245,15
IGHD2OR15-2A,20008402,20008432,15
IGHV1OR15-1,22160431,22160868,15
,25091786,25107469,15
RPS8P10,22152276,22152897,15
,27362310,27366398,15
,24206784,24225854,15
MPHOSPH10P5,23140563,23144422,15
LINC02203,21552815,21557161,15
,27483035,27541991,15
LINC02346,25902119,26053123,15
,21293653,21295201,15
FAM30B,20012741,20014208,15
LINC02250,25456271,25578813,15
,25027736,25032047,15
,22145939,22148226,15
,20773084,20774871,15
,21717808,21718245,15
,21053004,21054702,15
OR4M2-OT1,22015233,22095857,15
,21514144,21544394,15
,23225876,23226391,15
,20301481,20331583,15
,21382383,21382842,15
,21127698,21130095,15
,21703428,21705627,15
,21342171,21343958,15
OR11K1BP,21595684,21596526,15
,21742364,21742799,15
GOLGA6L1,23127066,23136822,15
LINC00929,26115726,26134001,15
IGHD5OR15-5B,21010494,21010516,15
,27684498,27685768,15
,20626819,20627365,15
OR4N3P,22125511,22126434,15
RPL5P1,24908932,24909825,15
OR11J7P,21971706,21972645,15
LINC01193,20940380,21058440,15
,26557598,26557937,15
,19899334,19899559,15
IGHV1OR15-3,22178107,22178542,15
,27621534,27629289,15
IGHV3OR15-7,19987656,19988117,15
,26657030,26658763,15
,27418796,27420735,15
IGHV1OR15-6,20639464,20639890,15
,19878555,19887814,15
,25091960,25092377,15
,24558060,24912924,15
,26851132,26851610,15
,21368459,21370621,15
GRAMD4P6,21383821,21384064,15
,21148334,21152970,15
IGHD2OR15-2B,21015048,21015078,15
GRAMD4P5,20813299,20814958,15
,21990074,22059831,15
,24238145,24240192,15
MPHOSPH10P4,20545576,20549444,15
,21574225,21575207,15
,20803505,20826173,15
GOLGA6L6,20531856,20541800,15
SERPINE4P,27340524,27340804,15
GABRA5,26866911,26949208,15
LONRF2P3,20775464,20775998,15
,24910874,24911125,15
SNHG14,24978583,25420336,15
,21298233,21325241,15
,21735506,21735945,15
IGHD4OR15-4B,21011451,21011469,15
BMS1P16,21160305,21167357,15
THBS1-AS1,39588357,39588882,15
,21752278,21752710,15
NF1P2,21927657,21946641,15
IGHV1OR15-9,19964666,19965101,15
,20344736,20359166,15
,29373602,29376956,15
,39472703,39497074,15
TUBAP11,34849137,34850395,15
IGHD3OR15-3A,20005905,20005935,15
RPL5P32,27895704,27896582,15
ZFYVE19,40807086,40815084,15
,20642799,20643448,15
PWRN2,24162754,24169948,15
ABCB10P1,23179869,23182049,15
ATP10A-DT,25865295,25877211,15
GOLGA8CP,20562375,20575696,15
IGHD1OR15-1B,21017800,21017816,15
,20826454,20826640,15
,40226386,40227069,15
ANP32AP1,35181799,35238197,15
BMF,40087890,40108892,15
ZNF770,34978341,34988287,15
LINC02895,38139595,38226897,15
,40133768,40135214,15
TVP23BP1,26964917,26970385,15
LINC02853,35919892,36049537,15
SLC20A1P3,19967414,19968352,15
THBS1,39581079,39599466,15
AQR,34851782,34969742,15
,34978351,34980084,15
ZNF519P3,21911559,21912590,15
GJD2,34751032,34754998,15
OCA2,27754875,28099315,15
,24341729,24343464,15
LINC02203,21552795,21653276,15
OR1Q1BP,21609102,21610043,15
,21542990,21544008,15
ZNF519P2,20901441,20901609,15
EIF2AK4,39934115,40035591,15
,21709649,21710270,15
,39019193,39026521,15
GABRB3,26543546,26939539,15
LONRF2P4,21344548,21345085,15
OR4H6P,22056709,22057638,15
POTEB2,20835372,20866314,15
IGHV1OR15-2,19972782,19973218,15
,38756552,38759413,15
,35007844,35011191,15
DPH6,35217345,35546193,15
RPLP0P10,40312352,40313289,15
,19955300,19955602,15
OR11J5P,20969282,20970215,15
BMF-AS1,40088832,40089386,15
C15orf62,40769980,40772449,15
,21328380,21343881,15
,38865322,39427195,15
SPRED1,38252836,38357249,15
,26403480,26477840,15
,25580969,25581122,15
,35939167,36252257,15
,40232082,40236109,15
GAPDHP55,44063511,44064313,15
,27775621,27776798,15
FMN1,32765544,33194714,15
THBS1-IT1,39586561,39587293,15
,20516252,20520627,15
NF1P1,20916686,20935658,15
NUTF2P6,35282596,35282980,15
,46365836,46381043,15
GABRG3-AS1,27038978,27161319,15
IGHD3OR15-3B,21012559,21012589,15
,24848355,24852253,15
,34993646,35003221,15
,37490691,37491103,15
GABPB1-IT1,50348936,50354861,15
FSIP1,39588357,39782841,15
GABRG3,26971181,27541984,15
,47603880,47606352,15
,20890206,20890606,15
HNRNPA1P71,33012119,33013068,15
,21534404,21535346,15
,37364020,37490864,15
,47944044,47949509,15
,46099193,46100392,15
MTCYBP23,58154960,58156061,15
PRELID1P4,35121573,35122084,15
,39512335,39519954,15
NBEAP4,21250180,21260147,15
DNAAF4-CCPG1,55355248,55498360,15
,47274183,47275164,15
,33105758,33106236,15
,39770559,39801333,15
,40075204,40078704,15
RYR3-DT,33293568,33310659,15
,49877299,49883525,15
,40312615,40316634,15
RPL36AP8,34943080,34943394,15
,58889967,58894082,15
,35396221,35396444,15
PRTG,55611544,55743152,15
,61239906,61240331,15
RAD51,40694774,40732340,15
MINDY2-DT,58768072,58770974,15
ACTC1,34790230,34795549,15
ACTBP7,43989061,43990184,15
,35092481,35093210,15
,42348103,42412317,15
RPL7AP62,47730144,47730935,15
OR4H6BP,21614118,21615051,15
GOLM2,44288719,44415758,15
,40244925,40247366,15
OR11K1P,22030900,22031846,15
,49794246,49796097,15
,46827526,46827958,15
RPL7AP75,59406963,59408154,15
SHC4,48823741,48963919,15
,25087661,25088896,15
,20658900,20664970,15
,55746639,55746767,15
LINC01491,47774219,47846266,15
,34999902,35000270,15
,65301922,65302311,15
,46693288,46804844,15
APH1B,63276018,63309126,15
FRMD5,43870761,44195271,15
OR4Q1P,22044476,22045400,15
,35099022,35169698,15
CTDSPL2,44427622,44529038,15
,66808404,66810560,15
CCNB2,59105126,59125045,15
,40285468,40285909,15
,58200606,58201018,15
LDHAL6B,59206843,59208588,15
,40078892,40079347,15
COPS2,49106068,49155661,15
,65458574,65459534,15
,67834310,67838879,15
SMAD6,66702236,66782849,15
,47133495,47134122,15
SLTM,58879050,58933679,15
GAPDHP43,44354691,44355692,15
SECISBP2L,48988476,49046447,15
HERC1,63608618,63833948,15
RBM17P4,35298249,35299440,15
,46317393,46351753,15
,47956521,47988044,15
,58967046,58967808,15
SALRNA2,70635249,70637314,15
,57979716,57980646,15
SKOR1,67819704,67834582,15
THAP10,70881342,70892433,15
,70195638,70198509,15
,69820756,69835111,15
,50359450,50360194,15
FOXB1,60004234,60061730,15
,59115547,59116089,15
HNRNPA1P45,35400691,35401768,15
OR11J2P,20960675,20961581,15
MESTP2,60053204,60054092,15
,61298791,61635449,15
GCHFR,40764068,40767708,15
CA12,63321378,63381846,15
IQCH-AS1,67290636,67521844,15
TMCO5B,33235552,33247621,15
,35774801,35774950,15
MAP2K5-DT,67541072,67542604,15
MYO1E,59132434,59372871,15
GEMIN8P1,69803316,69804046,15
HNRNPMP1,44447577,44449344,15
,39300418,39310782,15
KRT8P9,70858714,70860162,15
,70791013,70791486,15
BUB1B-PAK6,40218500,40264890,15
,56542952,56629592,15
,66860303,66867023,15
RAB8B,63189560,63267776,15
,73335260,73342387,15
ARIH1,72474330,72602987,15
,65475318,65475614,15
PLCB2,40278176,40307935,15
ITGA11,68296532,68432163,15
HACD3,65530418,65578349,15
,67974391,67974625,15
PLCB2-AS1,40300670,40301820,15
REC114,73443164,73560013,15
NPTN-IT1,73567012,73569294,15
,60763593,60765625,15
,67832725,67873866,15
LINC02205,70503907,70505928,15
TBC1D21,73873564,73889214,15
,67985059,67986288,15
NPTN,73560014,73634134,15
,70758269,70758856,15
MPI,74890005,74902219,15
FEM1B,68277745,68295862,15
PML,73994673,74047827,15
IQCH,67254786,67502260,15
,55588666,55589811,15
,44387320,44390451,15
SALRNA3,70615547,70616567,15
,70321576,70326742,15
,60073554,60118320,15
RPL29P30,70796597,70802688,15
COX5A,74919791,74938083,15
,61861109,61894164,15
,71972206,72040265,15
,49101791,49103264,15
,68483202,68487149,15
ALDH1A2,57953424,58497866,15
NEO1,73051710,73305205,15
HMG20A,77420412,77485607,15
,75676227,75677162,15
HNRNPA1P5,67627852,67629135,15
CYP1A2,74748845,74756607,15
SLC27A2,50182196,50236385,15
,74976240,74976573,15
NDUFAF4P1,49156329,49156847,15
IREB2,78437431,78501453,15
C15orf61,67521131,67530146,15
PPCDC,75023586,75117462,15
NPM1P43,73161779,73162928,15
,70556521,70562722,15
,70768011,70778868,15
DNM1P33,74062780,74063785,15
HCN4,73319859,73368958,15
,47359430,47396732,15
EDC3,74630558,74696292,15
CTDSPL2-DT,44402685,44427144,15
MAP2K5,67542703,67807117,15
MRPS15P1,73483196,73483943,15
CNOT6LP1,56005715,56007176,15
,75678548,75680752,15
HNRNPA3P11,57246960,57247893,15
,75645020,75645442,15
,59266720,59271162,15
EIF5A2P1,72041194,72041653,15
ADAMTS7,78759206,78811464,15
,58151033,58152513,15
HSP90AB4P,58691106,58693125,15
PAK6-AS1,40250664,40252969,15
,74040190,74043332,15
PSMA4,78540405,78552417,15
,47397501,47399554,15
FKBP1AP2,73143236,73143518,15
,56887107,56888219,15
,60593027,60593460,15
CPLX3,74826627,74831802,15
GOLGA6A,74069857,74082550,15
ULK3,74836118,74843346,15
CSPG4,75674322,75712848,15
,57990217,57990636,15
,78480057,78481820,15
LIPC,58410569,58569844,15
STOML1,73978926,73994622,15
,49177610,49178741,15
,75022980,75023256,15
,58856831,58865063,15
AP4E1,50908672,51005895,15
LINC02568,63390136,63438320,15
,56795460,56918499,15
,53419865,53453487,15
ATP8B4,49858238,50182817,15
MAP1A,43510958,43531620,15
LIPC-AS1,58434890,58498735,15
LOXL1,73925989,73952137,15
,63456294,63469356,15
,77484275,77485606,15
IGDCC4,65381484,65422947,15
,58869659,58870134,15
LINC02204,70570958,70586606,15
,58456188,58456348,15
,77525540,77534110,15
,47525169,47527756,15
,56652488,56918571,15
,45705078,45931069,15
,73255334,73256109,15
LMAN1L,74812716,74825757,15
MTND5P40,46341354,46341599,15
MNS1,56421544,56465137,15
GALK2,49155656,49367869,15
CHRNA3,78593052,78621295,15
MYO9A,71822291,72118577,15
CAPN3,42359498,42412949,15
,39167676,39180048,15
,59049399,59050385,15
,58454327,58454982,15
,74816223,74831795,15
,85770990,85771163,15
DNAAF4,55410525,55508234,15
,78599892,78600013,15
,40258501,40260370,15
MTND5P32,58152606,58154407,15
FAM219B,74899992,74906883,15
,20729747,20756183,15
RMDN3,40735884,40755851,15
,78537681,78538946,15
,58732188,58733149,15
,78339208,78341757,15
,63500737,63503083,15
,60634503,60640915,15
ZNF444P1,58865006,58865303,15
SCAMP5,74957219,75021495,15
,79751689,79752049,15
ALDH1A2-AS1,58065225,58071043,15
,81633426,82013579,15
USP3-AS1,63544247,63601589,15
CHRNA5,78565520,78595269,15
DCAF13P3,50944663,50945996,15
IGDCC3,65327127,65378002,15
,39813223,39815429,15
CRABP1,78340353,78348225,15
,77204578,77205100,15
,58521311,58523371,15
UACA,70654554,70763558,15
,78382573,78383155,15
,70602124,70602516,15
SCAMP2,74843730,74873365,15
,39782571,39785617,15
SNUPN,75598083,75626469,15
WDR72,53513741,53762878,15
,88568287,88568562,15
,79331591,79337277,15
,61181249,61195938,15
,83962176,83962583,15
,59348648,59359889,15
SCAPER,76347904,76905444,15
H3P38,39951375,39951708,15
HYKK,78507564,78537372,15
,55680385,55681463,15
,75636139,75639239,15
DNAJC17,40765161,40807478,15
,81427448,81755217,15
,80433795,80445152,15
MTCO3P23,58150275,58150563,15
USP3,63504511,63594640,15
,61598514,61605241,15
ABHD17C,80679684,80755621,15
TMED3,79311112,79427432,15
SUMO2P15,40760597,40760874,15
,59121034,59133250,15
,60642054,60659791,15
IGHD4OR15-4A,20004797,20004815,15
,87638688,87668488,15
,56846340,56846605,15
RORA-AS2,60681564,60687248,15
,61674767,61675212,15
LINC00927,80263068,80341805,15
,56908312,56908635,15
,80693216,80693707,15
CEMIP,80779343,80951776,15
GPR176,39799008,39920266,15
CHRNB4,78624111,78727754,15
ST8SIA2,92393881,92468728,15
GPR176-DT,39921042,39925880,15
AQP9,58138169,58185911,15
,77568970,77608888,15
C15orf40,82988441,83011641,15
RPL18P11,78661047,78661576,15
,81554003,81696780,15
,61834682,61935738,15
,85726115,85727227,15
,56795382,56795522,15
MAN2A2,90902218,90922584,15
,85750336,85752901,15
HOMER2,82836946,82986153,15
RORA-AS1,60479152,60630637,15
,83022571,83090782,15
PDE8A,84980440,85139145,15
,61211913,61214231,15
HNRNPCP3,79236332,79237206,15
,70748932,70754177,15
DUXAP6,92281484,92282084,15
,91532891,91535095,15
,48810701,48811909,15
,58749923,58761004,15
,75624793,75625690,15
,87325829,87703852,15
,80554609,80562944,15
MINAR1,79432336,79472304,15
,56729932,56730611,15
,35081144,35081513,15
,91643017,91649114,15
,79758549,79758762,15
MRPS11,88467453,88480776,15
,82925884,83103443,15
,38851306,38853432,15
RBPMS2,64739891,64775589,15
,92470233,92471546,15
MTND3P12,58150635,58150962,15
,84053113,84080097,15
,78589123,78591276,15
,96139472,96140452,15
,95463587,95493843,15
LARP6,70829130,70854157,15
,91676771,91677060,15
RORA,60488284,61229302,15
,20893383,20893980,15
LINC02349,61729765,61731389,15
SRP14,40035690,40039181,15
,80440294,80442751,15
DPP8,65442463,65517704,15
,95638316,95826499,15
,80769600,80773135,15
HMGB1P51,58672296,58672933,15
EID1,48878134,48880173,15
,78749833,78750107,15
PWAR5,24985053,24988232,15
ADAMTSL3,83654088,84039842,15
HDC,50241947,50265965,15
,58755625,58756247,15
NPM1P5,92285841,92286678,15
,85744109,85750281,15
,97560849,97572707,15
ARRDC4,97960703,97973833,15
ENO1P2,92420860,92422735,15
LINC02883,85754941,85756237,15
THRAP3P2,91742841,91743955,15
,93177269,93179999,15
,93589867,93760886,15
,94855586,94857011,15
,80580029,80580566,15
RAMAC,82986210,82991057,15
,96080713,96084584,15
,70848883,70849770,15
,96045341,96064357,15
,58587507,58591676,15
,79668342,79668816,15
LINC01586,88585566,88605110,15
,100861924,100885329,15
KLHL25,85759326,85794925,15
LINGO1-AS1,77641764,77652292,15
,100716249,100828497,15
LINC02157,96235785,96237010,15
SLCO3A1,91853708,92172435,15
,98660210,98660668,15
AEN,88621337,88632281,15
,83012661,83061845,15
,58686411,58686617,15
,48938236,48948031,15
PGAM1P12,96441566,96442313,15
,97982509,97991142,15
LINC01581,93905405,94107938,15
TUBAP4,83739784,83740199,15
ARNT2-DT,80344853,80404214,15
MORF4L1,78810487,78898139,15
,88459501,88546585,15
ADAM10,58588809,58749791,15
,100849561,100861756,15
,94841059,95169864,15
LINC01579,93718542,94070898,15
SH3GL3,83447228,83618743,15
,101043716,101049456,15
,97540597,97560702,15
,47812729,48050507,15
,75639760,75640976,15
,100782417,100786189,15
,96230897,96231145,15
,79743311,79743468,15
MRPL46,88459477,88467390,15
,96294935,96298023,15
,101050732,101086066,15
,98038571,98293199,15
GCAWKR,100849831,100876836,15
,96448154,96448493,15
LINC00052,87576929,87579866,15
LRRK1,100919327,101078257,15
,96393146,96405189,15
KRT8P24,48971803,48973361,15
FAM169B,98437162,98547728,15
,92148752,92331037,15
,97557808,97559097,15
,94033658,94034177,15
,93825058,93825159,15
,98118171,98118320,15
TUBAP12,96388214,96389056,15
,98282075,98285907,15
,101058647,101063904,15
LRRC28,99251362,99390729,15
,100861843,100874369,15
,96112628,96116051,15
,96171575,96174339,15
,99337857,99338481,15
,95990582,96300990,15
LINGO1-AS2,77660052,77668074,15
C15orf32,92471654,92501117,15
LINC01582,98081993,98103761,15
LINC02253,97215812,97432094,15
,98319687,98320237,15
,96438570,96444266,15
IGF1R,98648539,98964530,15
,100846604,100846767,15
,88477871,88478387,15
,97876289,97878386,15
AKAP13-AS1,85619623,85670948,15
,93837611,93852981,15
MINDY2,58771192,58861900,15
NR2F2,96325938,96340263,15
,93882082,93886743,15
,97533738,97541476,15
,97272020,97319321,15
,60847757,60849068,15
,98466840,98467412,15
,85621264,85627689,15
LINC02244,99395179,99396593,15
CEP152,48712928,48811146,15
FAM81A,59372693,59523555,15
,58815272,58817728,15
,96342953,96345651,15
,85579046,85580178,15
,85701109,85702771,15
LINC02251,98003038,98087384,15
NSA2P4,59401221,59402004,15
,48783190,48784121,15
,93257198,93260475,15
,92162798,92172436,15
TFDP1P3,79559256,79560304,15
,97945208,97950018,15
,96448842,96449749,15
NMNAT1P5,59964942,59966084,15
,93301416,93301647,15
BTBD1,83016423,83067252,15
,94724928,94726519,15
,96551381,96551517,15
LINC02254,97339693,97523442,15
,98111729,98131707,15
ALDH1A3,100877714,100916626,15
,25928146,25928575,15
,26050538,26052276,15
,100888472,100889106,15
,83022236,83024336,15
,83020115,83020802,15
,78625895,78628193,15
,77278465,77278774,15
RNU6-978P,19883614,19883716,15
RN7SL759P,20570886,20571175,15
RNU6-1235P,21307749,21307855,15
MIR3118-3,21406385,21406459,15
RNU6-498P,20738679,20738785,15
MIR3118-2,20832795,20832869,15
RNU6-749P,20855251,20855357,15
MIR5701-1,20940252,20940333,15
RN7SL400P,21102843,21103138,15
U6,21428879,21428985,15
MIR5701-3,21951242,21951323,15
RNU6-631P,21866210,21866316,15
MIR5701-2,21513959,21514040,15
RN7SL106P,23165897,23166186,15
RNA5SP390,25738508,25738620,15
MIR4715,25848747,25848825,15
,26008940,26009074,15
MIR3118-4,21843750,21843824,15
RNA5SP391,27280318,27280436,15
MIR4509-1,23197827,23197920,15
SNORD116-5,25062333,25062427,15
SNORD116-10,25074114,25074215,15
SNORD116-11,25075929,25076020,15
SNORD116-17,25083588,25083679,15
SNORD107,24981994,24982068,15
SNORD64,24985100,24985166,15
SNORD108,24986925,24986995,15
SNORD109A,25041974,25042040,15
SNORD116-1,25051477,25051571,15
SNORD116-2,25054210,25054304,15
SNORD116-3,25056860,25056954,15
SNORD116-4,25059538,25059633,15
SNORD116-6,25065026,25065121,15
SNORD116-7,25067788,25067882,15
SNORD116-8,25070432,25070526,15
SNORD116-9,25073107,25073201,15
SNORD116-12,25077051,25077142,15
SNORD116-13,25079058,25079149,15
SNORD116-14,25080142,25080233,15
SNORD116-15,25081287,25081378,15
SNORD116-16,25082768,25082859,15
SNORD116-18,25085385,25085476,15
SNORD116-19,25086527,25086618,15
SNORD116-20,25087662,25087753,15
SNORD116-21,25088804,25088895,15
SNORD116-22,25089923,25090014,15
SNORD116-23,25091786,25091877,15
SNORD116-24,25094037,25094128,15
SNORD116-25,25097663,25097754,15
SNORD116-26,25099499,25099594,15
SNORD116-27,25101575,25101666,15
SNORD116-28,25104642,25104732,15
,32970727,32970791,15
MIR4510,35926856,35926923,15
MIR3942,35372256,35372364,15
Y_RNA,39922782,39922886,15
RN7SL487P,43391384,43391727,15
RNU6-188P,42427591,42427697,15
RNU6-1014P,46660658,46660760,15
RN7SKP101,46720193,46720512,15
RNU1-119P,44884616,44884780,15
RN7SKP139,47272597,47272889,15
,46351662,46351746,15
RNA5SP394,49982443,49982561,15
Y_RNA,50221888,50221996,15
Y_RNA,48995912,48996022,15
RN7SL577P,49042341,49042643,15
Y_RNA,49137762,49137863,15
MIR4716,49169070,49169153,15
RN7SL307P,49198900,49199194,15
RNU6-94P,50347423,50347529,15
MIR4712,50360329,50360410,15
RN7SL494P,50244628,50244931,15
RNU2-53P,53651977,53652123,15
RN7SL568P,56029684,56029981,15
RN7SKP95,58703852,58704154,15
SNORD3P1,58760466,58760681,15
RNA5SP397,60736769,60736886,15
MIR2116,59171183,59171262,15
RNU4-80P,59212648,59212788,15
RNU6-212P,59341314,59341417,15
Y_RNA,59408905,59409015,15
,60677109,60677272,15
Y_RNA,56634038,56634167,15
Y_RNA,65502741,65502836,15
RNU5B-1,65304677,65304792,15
RNU6-1,67839939,67840045,15
RNU6-745P,70193236,70193341,15
MIR629,70079372,70079468,15
RN7SL429P,74072454,74072676,15
MIR6882,74840642,74840707,15
RNU6-19P,65553081,65553187,15
Y_RNA,74983274,74983376,15
RNU2-65P,72045183,72045367,15
RNU6-380P,80663772,80663878,15
MIR4513,74788672,74788757,15
MIR5572,80581103,80581239,15
MIR184,79209788,79209871,15
RNU6-401P,83717427,83717522,15
RNU6-1339P,83824863,83824953,15
MIR3713,76586647,76586691,15
RN7SKP217,76736641,76736980,15
MIR1276,85770496,85770578,15
MIR1179,88608107,88608197,15
RNU6-185P,87474183,87474289,15
RNU6-1280P,85651522,85651628,15
MIR7-2,88611825,88611934,15
MIR3529,88611847,88611924,15
RN7SL677P,97353497,97353815,15
RNA5SP401,97472126,97472252,15
MIR1469,96333261,96333307,15
RN7SKP254,96486582,96486891,15
,92417547,92417689,15
Metazoa_SRP,96496180,96496462,15
U6,98026042,98026139,15
RNU6-1186P,98074667,98074763,15
RNU2-3P,95745804,95745994,15
ZNF592,84748592,84806445,15
,84753122,84754502,15
,84852498,84852615,15
SNORD116-29,25106521,25106603,15
SNORD116-30,25108268,25108352,15
PWAR1,25135642,25138055,15
SNORD115,25159221,25159279,15
DMAC1P1,25169337,25169676,15
SNORD115-1,25170723,25170804,15
SNORD115-2,25172635,25172716,15
SNORD115-3,25174927,25175008,15
SNORD115-4,25176832,25176913,15
SNORD115-5,25178738,25178819,15
SNORD115-6,25180497,25180578,15
SNORD115-7,25182385,25182466,15
SNORD115-8,25184306,25184387,15
SNORD115-9,25185631,25185712,15
SNORD115-10,25187536,25187616,15
SNORD115-11,25189414,25189495,15
SNORD115-12,25191416,25191497,15
SNORD115-13,25193321,25193402,15
SNORD115-14,25194921,25195001,15
SNORD115-15,25197576,25197656,15
SNORD115-16,25199448,25199529,15
SNORD115-17,25201323,25201404,15
SNORD115-18,25203227,25203308,15
SNORD115-19,25204357,25204438,15
SNORD115-20,25206262,25206343,15
SNORD115-21,25208083,25208163,15
SNORD115-22,25209918,25209999,15
SNORD115-23,25211796,25211877,15
SNORD115-24,25213648,25213729,15
SNORD115-25,25215541,25215622,15
SNORD115-26,25218617,25218698,15
SNORD115-27,25220497,25220578,15
SNORD115-28,25222348,25222428,15
SNORD115-29,25223246,25223327,15
SNORD115-30,25225203,25225284,15
SNORD115-31,25227109,25227190,15
SNORD115-32,25228967,25229048,15
SNORD115-33,25230838,25230919,15
SNORD115-34,25232387,25232468,15
SNORD115-35,25234247,25234328,15
SNORD115-36,25236085,25236166,15
SNORD115-37,25237986,25238067,15
SNORD115-38,25239838,25239919,15
SNORD115-39,25241746,25241827,15
SNORD115-40,25243614,25243695,15
SNORD115-41,25245478,25245559,15
SNORD115-42,25247345,25247426,15
SNORD115-43,25249198,25249279,15
SNORD115-44,25250859,25250940,15
,25255579,25257027,15
SNORD115-45,25264510,25264590,15
SNORD115-46,25266591,25266661,15
SNORD115-47,25268466,25268551,15
SNORD115-48,25269783,25269858,15
SNORD109B,25278343,25278409,15
,25345633,25347235,15
,51833134,51833426,15
Metazoa_SRP,51858070,51858352,15
,51859185,51861293,15
Y_RNA,51884556,51884653,15
,51887560,51901123,15
RNU6-90P,51907200,51907305,15
,51908902,51909642,15
,51919073,51930627,15
LEO1,51938025,51971778,15
TMOD3,51829628,51947295,15
CKMT1B,43593054,43604901,15
STRC,43599563,43618800,15
RNU6-554P,43602543,43602648,15
,43614208,43632283,15
RNU6-610P,43637632,43637738,15
,43642389,43643023,15
PDIA3P2,43649123,43649280,15
,43663654,43684339,15
CKMT1A,43692886,43699222,15
RNU6-353P,43702363,43702470,15
RNU6-354P,43734179,43734285,15
ELL3,43772605,43777315,15
,43772617,43799133,15
MIR1282,43793659,43793759,15
MFAP1,43804492,43824690,15
SLC24A1,65611366,65660995,15
,65655620,65656085,15
DENND4A,65658046,65792293,15
SNORD13E,65696833,65696936,15
MIR4511,65719246,65719332,15
RAB11A,65726054,65891989,15
,65766460,65767398,15
,65771176,65772139,15
HNRNPA1P44,65816302,65817481,15
U6,65843484,65843558,15
Y_RNA,32175247,32175351,15
,32182551,32186475,15
,32250302,32256125,15
RNU6-18P,32284152,32284258,15
,32313126,32315654,15
,32359538,32367784,15
,32384242,32384418,15
DNM1P31,32384937,32387484,15
RN7SL185P,32394365,32394613,15
,32398956,32435233,15
U8,32426288,32426420,15
DNM1P32,32436503,32439767,15
GOLGA8O,32441914,32455634,15
RN7SL539P,32446674,32446964,15
,32461666,32461809,15
GOLGA6L23P,32489267,32491586,15
MPHOSPH10P2,32494003,32500346,15
